smiles,bbbp,mutagenicity,hia
,0.78,0.19,0.99
CCN1CCc2cc(NC(=O)CN(Cc3ccccc3)S(=O)(=O)c3ccc(OC)c(Cl)c3)ccc21,0.51,0.23,1.0
CCN1CN(c2nnc(SCc3ccccc3F)s2)C(=O)C(=O)C1=C(O)c1ccc2c(c1)C[C@@H](C)O2,0.43,0.18,1.0
CCCN1NC(c2cccn2Cc2ccccn2)[C@H](c2ccccn2)NC1=S,0.38,0.36,1.0
CCOc1ccc([C@H]2C(C(=O)OC)=CN=c3s/c(=C\c4cc(OC)c(OCc5cccc(C)c5)cc4Br)c(=O)n32)cc1OC1CCN(C)CC1,0.62,0.13,1.0
CCCc1nc2s/c(=C\c3cc(Br)c(OC(C)=O)c(OC)c3)c(=O)n2c1C1CCN(CC)CC1,0.91,0.4,1.0
CCCCOc1cccc(-c2nn(-c3ccccc3)cc2C=C2C=NCCC2)c1,0.72,0.18,1.0
CCCCNC(=O)[C@@H](CC)N(Cc1cccc(OC)c1)C(=O)CN(c1cc(F)cc(F)c1)S(=O)(=O)c1ccc(C)cc1,0.44,0.08,1.0
C#CCOc1ccc(/C=c2\sc3n(c2=O)[C@H](c2ccc(OCCN4CCNCC4)c(OCC)c2)C(C(=O)OCC)=C(C)N=3)cc1Br,0.44,0.29,1.0
CC(C)c1ccc2oc(-c3cccc(NC(=S)NC(=O)c4ccc(N5CCCC5)c(F)c4)c3)nc2c1,0.49,0.29,1.0
CCN(CC)CCCOc1cc(C=Nn2c(-c3cc4c(OC)cccc4o3)nc3ccccc3c2=O)cc(Cl)c1OCC(=O)O,0.44,0.21,0.97
CN(C)CCN1C(=O)S/C(=C/c2ccc(-c3ccc(Cl)c([N+](=O)[O-])c3)o2)C1=O,0.95,0.9,1.0
CCN[C@H](C)C(=O)N(Cc1ccc(Cl)cc1Cl)C(=O)CN1CCN(c2ccc(OCC)cc2)CC1,0.84,0.13,1.0
Cc1ccc2c(Cl)c(C(=O)Nc3ccc(C(=O)Nc4nnc(-c5cccc(CN6CCN(C)CC6)c5)o4)cc3)sc2c1,0.56,0.48,0.94
Cc1cc(C2(c3cc(C)c(OC(C)C)cc3Br)OC(=O)c3ccccc32)c(C(C)C)cc1OC(=O)[C@H]1[C@@H]2CCCC[C@@H]21,0.22,0.11,1.0
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C/c3ccccc3OCc3ccc(Br)cc3)c(=O)n2[C@H]1c1c(OC)ccc2ccccc12,0.4,0.25,1.0
N#Cc1c(Cl)cc(-c2cccs2)nc1SCC(=O)Nc1sc2c(c1C#N)CCC2,0.68,0.42,1.0
COc1ccc(S(=O)(=O)N(C)c2ccccc2C(=O)N[C@@H](C)c2ccc(F)cc2)cc1,0.56,0.05,1.0
O=C(NC(=S)Nc1cccc(-c2nc3ccccc3s2)c1)c1ccccc1,0.82,0.45,1.0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(O)c(OC)c3)c(=O)n2[C@@H]1c1ccccc1OCC,0.37,0.14,1.0
Cc1ccc2nc(-c3cccc(/N=C/c4cc(C5CCN(C)CC5)cc([N+](=O)[O-])c4O)c3)oc2c1,0.73,0.42,1.0
O=C1C(=O)N(CCc2ccccc2)[C@H](c2ccc(Cl)cc2)C1=C(O)c1ccc2c(c1)OCCO2,0.24,0.03,1.0
COC(=O)c1ccc(NC(=O)Nc2ccc(F)c(F)c2)cc1,0.95,0.08,1.0
CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N[C@@H]2c1cccc(Cl)c1Oc1cccc2c1OC(C)(C)C2,0.65,0.13,1.0
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCCN2CCC(F)(F)CC2)c(Cl)c1,0.94,0.4,1.0
CCN1CCN([C@@H](Cc2ccccc2)C(=O)NCC(C)(C)N(C)C(=O)CSCc2cccc(Cl)c2)CC1,0.73,0.15,1.0
CCNC(=O)[C@H](CC)N(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(Cl)cc1)S(C)(=O)=O,0.8,0.08,1.0
COc1ccccc1C(=Cc1ccc(Nc2ccccc2)cc1)NC(=O)c1ccccc1,0.46,0.36,1.0
