smiles,bbbp,mutagenicity,hia,plogp,qed,drd2,sas
O=C1CN(C2CCC[NH2+]2)CCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](Cc2c[nH]c3ccccc23)N1,0.02,0.14,0.06,-36.24,0.22,0.02,5.16
CCOc1ccc([C@H]2C(C(=O)OC)=CN=c3s/c(=C\c4cccc(Cl)c4Cl)c(=O)n32)cc1OCC,0.56,0.04,1.0,0.94,0.43,0.0,3.38
O=C(NCc1ccc(F)c(F)c1)[C@@H](Sc1ccccc1)c1ccccc1,0.87,0.12,1.0,2.86,0.61,0.01,2.36
CCCCNC(=O)[C@@H](C)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1cccc(Br)c1)S(=O)(=O)c1ccc(C)cc1,0.6,0.04,1.0,3.06,0.22,0.02,3.05
O=C(Nc1ccc2c(c1)OCO2)[C@H](c1ccc(Cl)cc1)N(Cc1ccc(F)cc1)C1CCN(Cc2ccccc2)CC1,0.93,0.18,1.0,3.5,0.23,0.08,2.95
CN1C2CCC1CN(c1cccc(Sc3cccc(NC(=O)/C(=C/c4ccccc4F)NC(=O)c4ccccc4)c3)c1)C2,0.74,0.28,0.98,1.83,0.22,0.05,4.11
COc1cc(C=Nn2c(C)nc3ccc(Br)cc3c2=O)ccc1N1CCN(C)CC1,0.92,0.64,1.0,1.32,0.55,0.08,2.47
COc1ccc(/C=C2\S[C](Nc3cc(Cl)ccc3OC)NC2=O)cc1,0.64,0.62,1.0,1.99,0.77,0.0,2.5
CN1CCC(c2cc(N(C)C)ccc2C(=O)OCc2ccc([N+](=O)[O-])cc2)CC1,0.93,0.5,0.99,2.0,0.42,0.02,2.32
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC3CCCCC3)[C@H]2SC1,0.23,0.05,0.52,-0.99,0.51,0.0,3.32
COc1ccc(C(=O)c2ccc(C(=O)Nc3ccccc3)cc2)cc1,0.64,0.4,1.0,3.25,0.71,0.0,1.49
C=CCn1cc(C=c2sc3n(c2=O)[C@H](CCCN(C)C)C(C(=O)OCC)=C(CCC)N=3)c2ccccc21,0.84,0.3,1.0,0.6,0.28,0.04,3.59
Cc1nn(-c2ccccc2)c2nc(-c3ccccc3)cc(C(=O)OCC(=O)N3CCN(C)CC3)c12,0.78,0.13,1.0,1.68,0.42,0.11,2.3
CCn1c(CNC(=O)COc2ccc(Cl)cc2Cl)nnc1SCC(=O)Nc1c(C)cc(Br)cc1C,0.53,0.14,1.0,2.92,0.3,0.0,2.47
CC(=NNC(=S)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)C1CC1,0.82,0.14,1.0,0.51,0.46,0.0,2.38
COc1ccc(Cl)cc1C1=NC(=Cc2cc(Br)cc(Br)c2OC(=O)C=CC2CC2)C(=O)O1,0.57,0.13,1.0,2.83,0.23,0.07,2.94
COc1ccc(C(=O)N(CC(=O)c2ccc(OC(=O)c3ccc(Cl)cc3Cl)cc2)C(=O)c2ccccc2Cl)cc1,0.3,0.02,1.0,4.1,0.09,0.01,2.44
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(I)c(OC)cc1OC,0.61,0.35,1.0,1.81,0.3,0.01,3.26
COc1ccc(S(=O)(=O)N=[P](Oc2cccc(Cl)c2)C2(C)c3ccccc3N2C)cc1,0.44,0.03,1.0,1.87,0.41,0.0,3.7
CCc1ccccc1NC(=O)CN1C(=O)N/C(=C/c2ccc(Br)c(C)c2)C1=O,0.95,0.23,1.0,2.02,0.55,0.0,2.32
CCCCNC(=O)[C@@H](CC)N(Cc1cccc(C)c1)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(F)cc1,0.57,0.07,1.0,2.29,0.28,0.01,2.98
CCOc1ccc(N(CC(=O)N(CCCN(CC)CC)Cc2ccc(Cl)c(Cl)c2)S(=O)(=O)c2ccc(Br)cc2)cc1,0.76,0.17,1.0,3.98,0.17,0.2,2.58
O=C(N[C@@H](Cc1ccccc1)C(=O)NCCCCCCCCCCNC(=O)N(Cc1ccccc1)C1CCN(C2CCC2)CC1)OCc1ccccc1,0.91,0.37,1.0,3.77,0.1,0.03,3.26
CN1C2CCC1CN(c1cc(C(=O)O)cc(N3C(=O)c4ccc(C(=O)c5ccc([N+](=O)[O-])cc5)cc4C3=O)c1)CC2,0.36,0.67,0.48,-3.54,0.21,0.02,4.12
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1cccc(F)c1)C(=O)CCCN(c1cccc(C)c1C)S(C)(=O)=O,0.63,0.11,1.0,1.91,0.27,0.01,3.4
COC(=O)c1c(NC2CCN(C)CC2)c2cc(N[C@@H](C)CCn3cccn3)cnc2n1CCCc1ccccc1,0.74,0.16,1.0,1.57,0.24,0.05,3.39
COc1ccc(CN(C(=O)CCc2ccco2)[C@H](Cc2ccccc2)C(=O)NCc2ccco2)cc1,0.24,0.24,1.0,2.03,0.31,0.0,2.85
NCCc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(CN4CCC(F)CC4)cc3)c2)cc1,0.77,0.46,0.92,2.74,0.44,0.04,2.17
COc1cc(N)c(I)cc1/C=N/c1cccc(C)c1C,0.92,0.91,1.0,1.92,0.49,0.08,2.64
COC(=O)c1c(N2CCC(N)CC2)c2cc(N[C@@H](C)CCn3cccn3)cnc2n1CCCc1ccccc1,0.72,0.26,1.0,1.09,0.28,0.02,3.45
CC[C@H](C(=O)NC1CCCCC1)N(Cc1cccc(Cl)c1)C(=O)CN(c1ccc(Cl)cc1C)S(C)(=O)=O,0.85,0.1,1.0,2.13,0.42,0.01,3.08
COc1ccc(C=C(Br)c2nc3cc(Cl)ccc3o2)cc1OC,0.8,0.23,1.0,2.91,0.59,0.0,2.47
Cc1ccc(N2C(=S)N[C@H](c3ccccn3)[C@@H]2c2cc(C)n(-c3cc(Cl)ccc3C)c2C)cc1C,0.54,0.1,1.0,2.87,0.3,0.01,3.58
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(F)c(F)c3)c(=O)n2[C@@H]1c1ccccc1OCC,0.75,0.06,1.0,0.99,0.5,0.01,2.96
CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nnc1[C@@H](NC(=O)C(C)C)C(C)C,0.68,0.06,1.0,1.71,0.57,0.0,2.76
CCOC(=O)c1ccc(N2C(=O)[C@H]3N[C@]4(C5=CC=C(F)C=C(F)N5c5ccccc54)[C@H]3C2=O)cc1,0.8,0.34,0.99,-4.39,0.42,0.01,4.6
C#CCOc1c(C=NN[C@H](O)COc2ccc([C@H]3NC(=O)NC(C)=C3C(=O)OC)cc2)cc(I)cc1OC,0.24,0.18,0.99,-0.94,0.07,0.01,3.97
CCOC(=O)c1cc(-c2ccc(/C=C3/SC(=S)N(C4CCC4)C3=O)o2)ccc1Cl,0.82,0.19,1.0,2.96,0.34,0.0,2.51
O=C(C1=C(O)C(=O)N(CCc2c[nH]c3ccccc23)[C@H]1c1cc(F)cc(F)c1)c1ccc(Br)cc1,0.64,0.04,1.0,2.79,0.3,0.06,2.95
CC[C@H](C(=O)NCC(C)C)N(Cc1ccccc1Cl)C(=O)CN(c1ccc(Br)cc1)c1cc(OC)ccc1OC,0.44,0.08,1.0,3.03,0.22,0.02,3.21
